"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4","4","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"2","C5","1","C","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"3","C6, C7, C8, C9","4","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"4","C10, C12, C13, C14","4","C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"5","C11","1","C_Polarized","",""
"6","D2","1","D_Zener_Small","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal",""
"7","D3","1","LED_Small","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"8","D4","1","LED_Small","Diode_THT:D_5KP_P10.16mm_Horizontal",""
"9","D5","1","BAT41","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"10","J1, J2","2","Conn_01x20_Pin","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical",""
"11","J3, J4, J9, J11","4","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"12","J5, J6, J7, J8","4","Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"13","J10","1","Conn_01x07","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical",""
"14","Q1, Q2, Q3","3","BF545A","Package_TO_SOT_SMD:SOT-23",""
"15","Q4, Q5, Q6, Q7","4","2N7002","Package_TO_SOT_SMD:SOT-23",""
"16","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29","29","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"17","U1","1","4555","Package_DIP:DIP-16_W7.62mm",""
"18","U2","1","4052","Package_DIP:DIP-16_W8.89mm_SMDSocket_LongPads",""
"19","U3","1","4013","Package_DIP:DIP-14_W7.62mm",""
"20","U4","1","MAX3232","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""
"21","U5","1","OP07","Package_DIP:DIP-8_W7.62mm",""
"22","U6","1","ICL7660","Package_DIP:DIP-8_W7.62mm",""
